loại nhà đất,địa chỉ,giá,diện tích,giá/m2,mặt tiền,phòng ngủ,pháp lý,tọa độ x,tọa độ y,số tầng
0,23,6490.0,88.8,73.09,,2.0,,10803384659.4151,106617524363.704,
2,5,4350.0,47.0,92.55,4.0,2.0,1.0,10842743987.1569,106642948105.958,2.0
7,21,17900.0,216.0,82.87,12.0,,1.0,10842595841.5101,106717189907.435,
0,18,5000.0,65.0,76.92,,2.0,2.0,10750350952.1484,106723175048.828,
4,0,7500.0,128.0,58.59,6.0,5.0,1.0,10669288220.7721,106613249755.422,3.0
2,22,12700.0,95.6,132.84,7.0,3.0,1.0,10791521360.5545,106643632794.65,2.0
7,10,9800.0,68.0,144.12,4.0,1.0,1.0,10772097635.1544,106664975298.927,1.0
2,22,10450.0,73.7,141.79,5.3,10.0,1.0,10785418077.4187,106661678486.969,4.0
3,20,16650.0,95.0,175.26,5.0,5.0,1.0,10799704657.6938,106792091714.178,4.0
2,21,17200.0,209.0,82.3,13.0,4.0,1.0,10832776913.6321,106732106105.734,3.0
7,21,14000.0,112.0,125.0,,,1.0,10828176743.9027,106717424867.724,
3,13,50000.0,240.0,208.33,3.0,4.0,1.0,10776864059.579998,106788333664.08057,3.0
0,18,3100.0,68.0,45.59,,2.0,2.0,10717277166.227474,106742694319.82117,
0,20,2650.0,59.0,44.92,,2.0,,10843208043.2686,106843076353.938,
0,0,4400.0,76.0,57.9,,3.0,,10734051101.2268,106689884974.22,
2,18,11200.0,185.0,60.54,6.5,4.0,1.0,10704872491.1017,106735377467.185,2.0
0,23,8480.0,121.0,70.08,,3.0,2.0,10804003809.4963,106617404054.85,
0,0,2400.0,85.0,28.24,,2.0,2.0,10705915772.8367,106600166384.293,
0,20,3190.0,67.0,47.61,,2.0,2.0,10843858231.088238,106845720814.00008,
0,20,4800.0,92.0,52.17,,3.0,,10841037301.754255,106839749388.11398,
0,20,3350.0,59.0,56.78,,2.0,1.0,10840951014.853798,106840146600.28291,
0,0,2500.0,84.0,29.76,,2.0,2.0,10706418422.9468,106599626631.006,
0,2,7300.0,83.0,87.95,,2.0,1.0,10794862572.132,106720376173.627,
0,20,2900.0,54.33,53.38,,2.0,1.0,10841142450.70522,106839734939.48589,
0,20,1500.0,30.0,50.0,,1.0,1.0,10841814527.918783,106840633198.9046,
0,9,32000.0,78.0,410.26,,2.0,2.0,10778151721.2831,106705876148.352,
0,2,7200.0,86.0,83.72,,2.0,1.0,10794928550.7202,106720741271.973,
2,18,8250.0,60.0,137.5,4.0,5.0,1.0,10726638485.7917,106733441479.281,4.0
2,13,4200.0,71.5,58.74,5.0,3.0,1.0,10779700187.3362,106761627917.199,2.0
0,23,8600.0,121.0,71.07,,3.0,2.0,10803538147.239698,106617782494.232,
3,20,9000.0,70.0,128.57,,,,10840944160.06271,106840875851.36871,
0,20,3400.0,59.0,57.63,,2.0,,10841229886.88613,106839989935.0538,
0,20,3500.0,54.0,64.82,,,,10841643305.385124,106839868244.48177,
0,13,21500.0,140.0,153.57,,3.0,1.0,10782212741.7866,106719244106.387,
0,13,6500.0,75.0,86.67,,2.0,1.0,10802927828.6019,106741189217.811,
0,9,20000.0,56.0,357.14,,1.0,1.0,10777908447.6662,106707109036.574,
0,13,16900.0,83.0,203.61,,2.0,,10772240104.965763,106713416733.57538,
0,23,7000.0,96.0,72.92,,3.0,1.0,10804126319.162,106616881383.157,
0,9,31500.0,78.22,402.71,,2.0,2.0,10778452912.5996,106706390065.183,
0,20,2300.0,34.7,66.28,,1.0,,10825880662.81614,106819460036.59303,
0,2,7700.0,90.0,85.56,,2.0,1.0,10790426647.099665,106718477206.5272,
0,20,2320.0,34.7,66.83,,1.0,,10826520970.148771,106818091942.0538,
0,13,14500.0,91.0,159.34,,2.0,2.0,10769906058.081,106716219986.087,
0,13,6900.0,72.0,95.83,,2.0,2.0,10779292885.0416,106747898399.036,
0,20,3200.0,56.0,57.14,,2.0,1.0,10838444060.651443,106839740025.81812,
0,2,11000.0,120.0,91.67,,3.0,1.0,10794760968.167,106720904429.788,
0,20,24380.0,332.13,73.4,,5.0,2.0,10827166576.9101,106819207922.301,
0,13,5100.0,48.0,106.25,,1.0,,10802405317.362955,106741652595.70792,
0,13,6750.0,73.1,92.34,,2.0,1.0,10802172257.9092,106741949900.775,
0,20,15000.0,207.0,72.46,,5.0,2.0,10826865309.275,106819709015.754,
0,2,9800.0,110.0,89.09,,3.0,1.0,10794910723.849022,106720769998.55405,
